ticker,gics_sector,sector_etf
A,Healthcare,XLV
AAL,Industrials,XLI
AAPL,Technology,XLK
ABBV,Healthcare,XLV
ABNB,Consumer Cyclical,XLY
ABT,Healthcare,XLV
ACGL,Financial Services,XLF
ACM,Industrials,XLI
ACN,Technology,XLK
ADBE,Technology,XLK
ADI,Technology,XLK
ADM,Consumer Defensive,XLP
ADP,Technology,XLK
ADSK,Technology,XLK
AEE,Utilities,XLU
AEP,Utilities,XLU
AES,Utilities,XLU
AFL,Financial Services,XLF
AIG,Financial Services,XLF
AIZ,Financial Services,XLF
AJG,Financial Services,XLF
AKAM,Technology,XLK
ALB,Basic Materials,XLB
ALGN,Healthcare,XLV
ALL,Financial Services,XLF
ALLE,Industrials,XLI
AMAT,Technology,XLK
AMCR,Consumer Cyclical,XLY
AMD,Technology,XLK
AME,Industrials,XLI
AMGN,Healthcare,XLV
AMP,Financial Services,XLF
AMT,Real Estate,XLRE
AMZN,Consumer Cyclical,XLY
ANET,Technology,XLK
AON,Financial Services,XLF
AOS,Industrials,XLI
APA,Energy,XLE
APD,Basic Materials,XLB
APH,Technology,XLK
APTV,Consumer Cyclical,XLY
ARE,Real Estate,XLRE
ATO,Utilities,XLU
AVGO,Technology,XLK
AVY,Consumer Cyclical,XLY
AWK,Utilities,XLU
AXP,Financial Services,XLF
AZO,Consumer Cyclical,XLY
BA,Industrials,XLI
BAC,Financial Services,XLF
BAX,Healthcare,XLV
BBWI,Consumer Cyclical,XLY
BBY,Consumer Cyclical,XLY
BDX,Healthcare,XLV
BEN,Financial Services,XLF
BF-B,Consumer Defensive,XLP
BG,Consumer Defensive,XLP
BIIB,Healthcare,XLV
BIO,Healthcare,XLV
BK,Financial Services,XLF
BKNG,Consumer Cyclical,XLY
BKR,Energy,XLE
BLK,Financial Services,XLF
BMY,Healthcare,XLV
BR,Technology,XLK
BRK-B,Financial Services,XLF
BRO,Financial Services,XLF
BSX,Healthcare,XLV
BWA,Consumer Cyclical,XLY
BXP,Real Estate,XLRE
C,Financial Services,XLF
